price,house_type,width,length,bedrooms,bathrooms,floors,legal_status,street,ward,district
3.5,"nha ngo, hem",4.0,13.0,2,2,2,da co so,duong tinh lo 10,phuong binh tri dong b,quan binh tan
4.85,"nha ngo, hem",5.0,12.0,2,2,2,da co so,duong so 12,phuong binh hung hoa,quan binh tan
5.45,"nha ngo, hem",4.0,14.5,4,4,3,da co so,duong so 9,phuong binh hung hoa,quan binh tan
5.0,"nha mat pho, mat tien",5.5,11.0,8,3,3,da co so,duong so 13a,phuong binh hung hoa a,quan binh tan
7.3,"nha ngo, hem",6.3,17.5,4,4,3,da co so,duong go xoai,phuong binh hung hoa a,quan binh tan
2.87,"nha ngo, hem",4.3,12.5,4,4,4,da co so,duong tan hoa dong,phuong binh tri dong,quan binh tan
5.5,"nha ngo, hem",4.0,14.0,4,3,3,da co so,duong an duong vuong,phuong an lac,quan binh tan
9.3,"nha mat pho, mat tien",4.0,20.0,4,4,3,da co so,duong ten lua,phuong binh tri dong b,quan binh tan
7.4,"nha ngo, hem",5.5,12.0,4,5,4,da co so,duong ho hoc lam,phuong an lac,quan binh tan
6.1,"nha mat pho, mat tien",4.0,14.0,2,2,1,da co so,duong go xoai,phuong binh hung hoa a,quan binh tan
3.0,"nha ngo, hem",4.0,9.0,4,3,4,so chung / cong chung vi bang,duong huong lo 2,phuong binh tri dong,quan binh tan
2.69,"nha ngo, hem",4.5,12.0,2,2,2,da co so,duong lien khu 4-5,phuong binh hung hoa b,quan binh tan
2.98,"nha ngo, hem",4.0,7.0,2,1,2,da co so,duong tinh lo 10,phuong binh tri dong b,quan binh tan
5.6,"nha mat pho, mat tien",4.0,14.0,3,2,1,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
5.1,"nha ngo, hem",4.0,16.0,3,2,2,da co so,duong go xoai,phuong binh hung hoa a,quan binh tan
4.7,"nha ngo, hem",4.6,20.5,1,1,1,da co so,duong tran dai nghia,phuong tan tao a,quan binh tan
4.25,"nha ngo, hem",5.0,12.0,4,4,3,da co so,duong so 8,phuong binh hung hoa b,quan binh tan
3.98,"nha ngo, hem",4.0,11.0,3,2,2,da co so,duong so 14,phuong binh hung hoa a,quan binh tan
2.549,"nha ngo, hem",4.0,10.0,2,1,2,da co so,duong lien khu 4-5,phuong binh hung hoa b,quan binh tan
5.5,"nha ngo, hem",4.0,13.0,2,2,2,da co so,duong le cong phep,phuong an lac,quan binh tan
4.05,"nha ngo, hem",4.0,18.0,3,2,2,da co so,duong le trong tan,phuong binh hung hoa,quan binh tan
7.9,"nha mat pho, mat tien",4.0,18.0,3,4,3,da co so,duong duong ba cung,phuong an lac a,quan binh tan
5.95,"nha ngo, hem",4.5,13.0,4,4,4,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
3.5,"nha ngo, hem",4.0,12.5,2,2,2,da co so,duong tinh lo 10,phuong binh tri dong b,quan binh tan
3.699,"nha mat pho, mat tien",4.3,13.0,3,2,2,da co so,duong so 6,phuong binh hung hoa b,quan binh tan
4.0,"nha ngo, hem",4.0,18.0,2,1,1,da co so,duong huong lo 3,phuong binh hung hoa,quan binh tan
4.6,"nha ngo, hem",4.0,14.0,4,3,3,da co so,duong so 21,phuong binh hung hoa a,quan binh tan
5.4,"nha ngo, hem",4.0,16.0,4,4,4,da co so,duong so 1,phuong binh hung hoa a,quan binh tan
6.99,"nha mat pho, mat tien",4.0,14.0,4,3,4,da co so,duong ho hoc lam,phuong an lac,quan binh tan
2.1,"nha ngo, hem",4.5,6.0,2,3,3,da co so,duong le trong tan,phuong binh hung hoa,quan binh tan
4.0,"nha ngo, hem",4.0,16.0,3,2,2,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
5.4,"nha ngo, hem",4.0,17.0,5,5,4,da co so,duong so 6,phuong binh hung hoa b,quan binh tan
5.6,"nha mat pho, mat tien",4.0,18.0,3,2,2,da co so,duong ma lo,phuong binh hung hoa a,quan binh tan
5.9,nha pho lien ke,5.0,10.0,4,4,3,da co so,duong le trong tan,phuong binh hung hoa,quan binh tan
6.45,"nha ngo, hem",4.0,13.0,7,4,5,da co so,duong truong phuoc phan,phuong binh tri dong,quan binh tan
2.9,"nha ngo, hem",4.0,6.0,1,2,1,da co so,duong 26 thang 3,phuong binh hung hoa,quan binh tan
4.7,"nha ngo, hem",4.0,15.0,2,2,2,da co so,duong an duong vuong,phuong an lac,quan binh tan
3.0,"nha ngo, hem",5.0,6.0,3,2,2,da co so,duong 26 thang 3,phuong binh hung hoa,quan binh tan
5.15,"nha ngo, hem",4.0,15.0,3,2,2,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
3.0,"nha ngo, hem",4.0,10.0,2,2,2,da co so,duong ma lo,phuong binh tri dong a,quan binh tan
4.3,"nha ngo, hem",4.4,14.0,2,2,2,da co so,duong pham dang giang,phuong binh hung hoa,quan binh tan
2.95,"nha ngo, hem",6.0,26.0,3,3,2,so chung / cong chung vi bang,duong lien khu 5-6,phuong binh hung hoa b,quan binh tan
4.5,"nha ngo, hem",5.2,8.0,4,3,3,da co so,duong so 4,phuong an lac a,quan binh tan
5.7,"nha ngo, hem",5.0,17.0,2,2,2,da co so,duong so 11,phuong binh hung hoa,quan binh tan
3.19,"nha ngo, hem",3.3,8.0,2,2,2,da co so,duong vanh dai trong,phuong an lac a,quan binh tan
3.7,"nha ngo, hem",3.0,14.0,2,2,2,da co so,duong so 4,phuong binh hung hoa a,quan binh tan
5.5,"nha ngo, hem",4.0,12.0,3,3,3,da co so,duong so 5,phuong binh hung hoa,quan binh tan
5.48,"nha ngo, hem",5.0,12.0,3,2,2,da co so,duong so 12,phuong binh hung hoa a,quan binh tan
4.99,"nha ngo, hem",5.0,14.0,2,2,2,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
5.89,"nha ngo, hem",4.0,15.0,4,5,4,da co so,duong tay lan,phuong binh tri dong a,quan binh tan
6.45,"nha ngo, hem",4.0,16.0,6,7,5,da co so,duong go xoai,phuong binh hung hoa a,quan binh tan
3.65,"nha ngo, hem",4.0,19.0,1,1,1,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan
5.0,"nha ngo, hem",4.5,17.0,4,3,3,da co so,duong kinh duong vuong,phuong an lac,quan binh tan
3.08,"nha ngo, hem",3.0,10.0,2,2,2,dang cho so,duong chien luoc,phuong binh tri dong a,quan binh tan
3.0,"nha ngo, hem",4.0,8.0,2,2,2,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
4.0,"nha ngo, hem",4.0,12.0,2,2,2,da co so,duong so 5,phuong binh hung hoa,quan binh tan
3.7,"nha ngo, hem",5.5,15.0,2,1,1,da co so,duong lien khu 5-6,phuong binh hung hoa b,quan binh tan
9.0,"nha mat pho, mat tien",4.6,12.1,2,2,1,da co so,duong duong tu quan,phuong an lac a,quan binh tan
4.0,"nha ngo, hem",4.0,18.0,3,3,2,da co so,duong tinh lo 10,phuong binh tri dong,quan binh tan
4.6,"nha ngo, hem",5.0,13.0,2,2,2,da co so,duong so 5,phuong binh hung hoa,quan binh tan
12.3,"nha mat pho, mat tien",5.0,22.0,5,4,4,da co so,duong mieu binh dong,phuong binh hung hoa a,quan binh tan
4.55,"nha mat pho, mat tien",4.0,10.0,2,2,2,da co so,duong binh long,phuong binh hung hoa a,quan binh tan
4.8,"nha ngo, hem",4.0,14.0,4,4,4,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
3.8,"nha ngo, hem",4.0,11.0,2,2,2,da co so,duong le van quoi,phuong binh tri dong,quan binh tan
12.5,"nha mat pho, mat tien",4.5,20.0,4,5,4,da co so,duong so 28,phuong binh tri dong b,quan binh tan
5.3,"nha ngo, hem",5.0,17.0,4,3,3,da co so,duong kinh duong vuong,phuong an lac,quan binh tan
6.78,"nha ngo, hem",6.0,18.0,4,3,3,da co so,duong lien khu 4-5,phuong binh hung hoa b,quan binh tan
3.8,"nha ngo, hem",5.0,8.0,2,2,2,da co so,duong so 8,phuong binh hung hoa a,quan binh tan
7.7,"nha ngo, hem",4.5,20.0,7,6,5,da co so,duong ma lo,phuong binh hung hoa a,quan binh tan
4.85,"nha ngo, hem",4.0,12.0,4,3,3,da co so,duong so 3,phuong binh hung hoa a,quan binh tan
6.5,"nha mat pho, mat tien",4.0,22.0,3,2,2,da co so,duong dinh nghi xuan,phuong binh tri dong,quan binh tan
4.2,"nha ngo, hem",4.0,12.5,3,3,3,da co so,duong le trong tan,phuong binh hung hoa,quan binh tan
4.35,"nha ngo, hem",4.0,11.5,2,2,3,da co so,duong ma lo,phuong binh tri dong a,quan binh tan
5.3,"nha ngo, hem",4.5,18.0,4,5,3,da co so,duong lien khu 4-5,phuong binh hung hoa b,quan binh tan
4.299,"nha ngo, hem",3.6,14.0,3,2,2,da co so,duong ho van long,phuong binh hung hoa b,quan binh tan
5.25,"nha ngo, hem",5.0,15.0,4,5,4,da co so,duong lien khu 5-6,phuong binh hung hoa b,quan binh tan
1.7,"nha ngo, hem",3.3,6.0,2,2,2,giay to viet tay,duong chien luoc,phuong binh tri dong,quan binh tan
7.9,"nha ngo, hem",6.0,10.0,6,5,5,da co so,duong le van quoi,phuong binh tri dong a,quan binh tan
5.0,"nha ngo, hem",4.0,17.0,3,2,2,da co so,duong pham dang giang,phuong binh hung hoa,quan binh tan
4.3,"nha ngo, hem",4.0,16.0,3,2,3,da co so,duong truong phuoc phan,phuong binh tri dong,quan binh tan
3.85,"nha ngo, hem",4.0,19.0,2,1,1,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan
7.6,"nha ngo, hem",4.0,18.0,4,5,5,da co so,duong tan hoa dong,phuong binh tri dong,quan binh tan
4.35,"nha ngo, hem",4.0,8.0,3,3,3,da co so,duong mieu go xoai,phuong binh hung hoa a,quan binh tan
5.0,"nha ngo, hem",4.0,14.0,3,2,2,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan
14.0,"nha mat pho, mat tien",5.0,19.0,2,2,2,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
5.0,"nha ngo, hem",4.7,23.0,4,3,3,da co so,duong le dinh can,phuong tan tao,quan binh tan
2.0,"nha ngo, hem",4.0,6.0,2,2,2,da co so,duong le dinh can,phuong tan tao,quan binh tan
3.2,"nha ngo, hem",6.0,26.0,2,1,2,dang cho so,duong lien khu 5-6,phuong binh hung hoa b,quan binh tan
7.0,"nha mat pho, mat tien",4.0,14.5,5,5,5,da co so,duong truong phuoc phan,phuong binh tri dong,quan binh tan
2.68,"nha ngo, hem",4.0,15.0,2,2,1,da co so,duong nguyen thi tu,phuong binh hung hoa b,quan binh tan
16.8,"nha mat pho, mat tien",4.5,20.0,6,6,5,da co so,duong so 21,phuong binh tri dong b,quan binh tan
5.9,"nha ngo, hem",4.0,20.0,2,2,2,da co so,duong tinh lo 10,phuong binh tri dong b,quan binh tan
6.9,"nha mat pho, mat tien",4.0,17.5,3,3,3,da co so,duong so 12,phuong binh hung hoa a,quan binh tan
7.8,"nha ngo, hem",5.0,20.0,6,7,3,da co so,duong tan ky tan quy,phuong binh hung hoa a,quan binh tan
9.2,"nha ngo, hem",5.0,24.0,5,4,4,da co so,duong khieu nang tinh,phuong an lac a,quan binh tan
5.8,"nha mat pho, mat tien",5.0,16.0,4,4,3,da co so,duong tran dai nghia,phuong tan tao a,quan binh tan
5.37,"nha ngo, hem",4.0,12.0,4,3,4,da co so,duong huong lo 2,phuong binh tri dong,quan binh tan
3.3,"nha ngo, hem",3.0,13.5,2,2,2,da co so,duong so 5,phuong binh hung hoa a,quan binh tan
1.3,"nha ngo, hem",5.0,2.0,2,1,3,da co so,duong kinh duong vuong,phuong an lac,quan binh tan
5.0,"nha ngo, hem",4.0,15.0,4,4,3,da co so,duong huong lo 2,phuong binh tri dong,quan binh tan
5.9,"nha mat pho, mat tien",4.0,14.0,5,5,4,da co so,duong nguyen thi tu,phuong binh hung hoa b,quan binh tan
8.2,nha pho lien ke,4.0,14.2,4,5,5,da co so,duong pham dang giang,phuong binh hung hoa,quan binh tan
4.95,"nha ngo, hem",4.0,20.0,2,1,2,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan
5.9,"nha ngo, hem",4.0,18.0,5,3,3,da co so,duong so 1,phuong binh hung hoa a,quan binh tan
5.1,"nha ngo, hem",4.0,20.0,3,2,3,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan
5.75,"nha ngo, hem",4.0,13.0,3,3,3,da co so,duong so 5,phuong binh hung hoa,quan binh tan
4.5,"nha ngo, hem",4.0,15.0,2,2,2,da co so,duong tan ky tan quy,phuong binh hung hoa a,quan binh tan
5.5,"nha ngo, hem",5.0,20.0,1,1,1,da co so,duong 26 thang 3,phuong binh hung hoa,quan binh tan
5.49,"nha ngo, hem",5.6,13.0,2,2,2,da co so,duong so 7,phuong an lac a,quan binh tan
4.0,"nha ngo, hem",4.0,11.0,3,2,2,da co so,duong chien luoc,phuong binh tri dong,quan binh tan
11.8,"nha mat pho, mat tien",4.0,17.5,5,6,4,da co so,duong hoang van hop,phuong an lac a,quan binh tan
2.96,"nha ngo, hem",3.5,14.0,2,2,2,da co so,duong binh tri dong,phuong binh tri dong,quan binh tan
10.0,"nha mat pho, mat tien",4.5,20.0,5,4,5,da co so,duong huong lo 3,phuong binh hung hoa,quan binh tan
3.78,"nha ngo, hem",4.0,11.0,2,2,2,da co so,duong huong lo 3,phuong binh hung hoa,quan binh tan
6.5,"nha mat pho, mat tien",4.0,12.0,4,3,4,da co so,duong truong phuoc phan,phuong binh tri dong,quan binh tan
2.65,"nha ngo, hem",4.0,11.0,2,2,1,da co so,duong nguyen thi tu,phuong binh hung hoa b,quan binh tan
6.39,"nha ngo, hem",4.0,14.0,4,5,5,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan
6.6,"nha mat pho, mat tien",4.0,15.0,5,5,5,da co so,duong huong lo 2,phuong binh tri dong,quan binh tan
4.25,"nha mat pho, mat tien",4.0,15.0,4,4,3,da co so,duong lien khu 5-6,phuong binh hung hoa b,quan binh tan
9.999,"nha mat pho, mat tien",4.0,20.0,5,6,5,da co so,duong lien khu 1-6,phuong binh tri dong,quan binh tan
4.5,nha pho lien ke,4.0,14.0,4,4,3,da co so,duong lien khu 4-5,phuong binh hung hoa b,quan binh tan
4.95,"nha ngo, hem",4.0,18.0,2,2,2,da co so,duong tinh lo 10,phuong binh tri dong,quan binh tan
4.0,"nha mat pho, mat tien",4.0,12.0,3,2,2,da co so,duong 26 thang 3,phuong binh hung hoa,quan binh tan
17.5,"nha mat pho, mat tien",4.0,20.0,4,3,3,da co so,duong so 7,phuong binh tri dong b,quan binh tan
2.15,"nha ngo, hem",4.0,10.0,2,2,2,da co so,duong ho van long,phuong tan tao,quan binh tan
5.8,"nha mat pho, mat tien",4.0,19.0,3,2,2,da co so,duong ma lo,phuong binh hung hoa a,quan binh tan
4.6,"nha ngo, hem",4.0,14.0,2,2,2,khong co so,duong so 3,phuong binh hung hoa,quan binh tan
5.95,"nha ngo, hem",4.0,15.0,4,3,5,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan
11.2,"nha mat pho, mat tien",4.0,20.0,5,5,4,da co so,duong hoang van hop,phuong an lac a,quan binh tan
4.0,"nha mat pho, mat tien",4.0,12.0,2,2,2,da co so,duong so 24,phuong binh hung hoa a,quan binh tan
4.6,"nha ngo, hem",4.0,21.0,3,2,2,da co so,duong nguyen thi tu,phuong binh hung hoa b,quan binh tan
4.98,nha pho lien ke,4.0,14.0,3,3,4,da co so,duong lien khu 4-5,phuong binh hung hoa b,quan binh tan
1.9,"nha ngo, hem",2.0,5.98,1,2,2,da co so,duong chien luoc,phuong binh tri dong a,quan binh tan
6.0,"nha ngo, hem",4.0,15.0,4,5,4,da co so,duong huong lo 2,phuong binh tri dong,quan binh tan
9.9,"nha mat pho, mat tien",4.0,30.0,4,3,2,da co so,duong tinh lo 10,phuong tan tao,quan binh tan
12.5,"nha mat pho, mat tien",5.0,20.0,5,6,4,da co so,duong so 8,phuong binh tri dong b,quan binh tan
3.55,"nha ngo, hem",5.2,9.0,2,2,2,da co so,duong phan anh,phuong binh tri dong,quan binh tan
8.8,"nha mat pho, mat tien",5.0,19.0,4,5,4,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
12.2,"nha ngo, hem",5.6,16.0,6,6,5,da co so,duong tinh lo 10,phuong binh tri dong b,quan binh tan
3.48,"nha ngo, hem",3.5,10.0,2,2,2,da co so,duong chien luoc,phuong binh tri dong,quan binh tan
4.2,"nha ngo, hem",3.0,10.0,5,3,3,da co so,duong tinh lo 10,phuong binh tri dong,quan binh tan
9.5,"nha mat pho, mat tien",5.9,23.0,8,7,1,da co so,duong an duong vuong,phuong an lac,quan binh tan
2.68,"nha mat pho, mat tien",4.0,9.0,3,2,2,da co so,duong ten lua,phuong binh tri dong b,quan binh tan
3.25,"nha ngo, hem",5.0,9.0,2,2,2,da co so,duong lien khu 10-11,phuong binh tri dong,quan binh tan
4.25,"nha ngo, hem",4.0,10.5,2,2,2,da co so,duong so 14,phuong binh hung hoa a,quan binh tan
3.5,"nha mat pho, mat tien",4.0,15.0,2,1,1,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan
7.3,"nha ngo, hem",4.2,15.0,5,5,4,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
3.9,"nha ngo, hem",4.2,12.0,2,2,2,da co so,duong chien luoc,phuong binh tri dong,quan binh tan
6.5,"nha ngo, hem",4.8,13.0,5,5,4,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
5.1,"nha ngo, hem",4.5,12.0,4,4,4,da co so,duong tan hoa dong,phuong binh tri dong,quan binh tan
5.45,"nha ngo, hem",6.0,12.0,2,2,3,da co so,duong tan ky tan quy,phuong binh hung hoa a,quan binh tan
4.7,"nha mat pho, mat tien",4.0,15.5,3,3,4,da co so,duong lien khu 4-5,phuong binh hung hoa b,quan binh tan
5.2,nha pho lien ke,5.0,15.0,2,2,2,da co so,duong so 8,phuong binh hung hoa,quan binh tan
3.96,"nha ngo, hem",4.0,12.0,2,2,2,da co so,duong le van quoi,phuong binh tri dong,quan binh tan
3.399,"nha ngo, hem",3.0,10.2,2,2,1,da co so,duong chien luoc,phuong binh tri dong,quan binh tan
4.25,nha pho lien ke,4.0,12.0,2,2,3,da co so,duong truong phuoc phan,phuong binh tri dong,quan binh tan
4.78,"nha ngo, hem",4.0,14.0,3,2,3,da co so,duong go xoai,phuong binh hung hoa a,quan binh tan
11.5,"nha mat pho, mat tien",5.0,20.0,11,7,6,da co so,duong so 46,phuong tan tao,quan binh tan
13.0,"nha mat pho, mat tien",4.0,20.0,4,5,4,da co so,duong so 29,phuong binh tri dong b,quan binh tan
5.99,"nha ngo, hem",4.0,16.0,5,5,5,da co so,duong so 5,phuong binh hung hoa,quan binh tan
2.63,"nha ngo, hem",4.0,10.0,3,3,3,da co so,duong tan ky tan quy,phuong binh hung hoa,quan binh tan
4.3,"nha ngo, hem",4.4,14.0,2,2,1,da co so,duong pham dang giang,phuong binh hung hoa,quan binh tan
3.0,"nha mat pho, mat tien",4.0,10.0,2,1,2,da co so,duong le dinh can,phuong tan tao,quan binh tan
3.7,"nha ngo, hem",5.0,9.0,4,3,3,da co so,duong nguyen trieu luat,phuong tan tao,quan binh tan
7.3,"nha ngo, hem",6.3,17.0,4,4,3,da co so,duong go xoai,phuong binh hung hoa a,quan binh tan
4.85,"nha mat pho, mat tien",4.0,13.0,2,2,2,da co so,duong so 24,phuong binh hung hoa a,quan binh tan
4.35,"nha ngo, hem",4.0,12.0,2,2,2,da co so,duong huong lo 3,phuong binh hung hoa,quan binh tan
4.85,"nha ngo, hem",4.0,15.0,4,5,4,da co so,duong so 1,phuong binh hung hoa b,quan binh tan
9.85,"nha mat pho, mat tien",4.0,20.0,6,6,6,da co so,duong le van quoi,phuong binh tri dong a,quan binh tan
3.7,"nha ngo, hem",4.0,10.0,2,2,2,da co so,duong le dinh can,phuong tan tao,quan binh tan
4.7,"nha ngo, hem",4.0,17.0,2,1,1,da co so,duong tinh lo 10,phuong tan tao,quan binh tan
5.2,"nha ngo, hem",5.0,13.6,3,2,2,da co so,duong ma lo,phuong binh hung hoa a,quan binh tan
4.6,"nha ngo, hem",4.0,20.0,3,2,2,da co so,duong nguyen thi tu,phuong binh hung hoa b,quan binh tan
3.1,"nha ngo, hem",3.0,10.0,2,2,2,da co so,duong chien luoc,phuong binh tri dong a,quan binh tan
1.78,"nha ngo, hem",3.5,7.0,2,2,2,da co so,duong tan hoa dong,phuong binh tri dong,quan binh tan
7.2,"nha ngo, hem",5.0,14.0,4,5,4,da co so,duong tan hoa dong,phuong binh tri dong,quan binh tan
3.6,"nha ngo, hem",4.5,12.0,3,2,3,da co so,duong binh tri dong,phuong binh tri dong a,quan binh tan
5.5,"nha ngo, hem",5.0,17.0,4,4,4,da co so,duong ma lo,phuong binh tri dong a,quan binh tan
5.9,"nha mat pho, mat tien",4.0,11.5,4,5,4,da co so,duong so 1a,phuong binh hung hoa a,quan binh tan
6.9,"nha ngo, hem",5.0,13.5,4,4,4,da co so,duong tan hoa dong,phuong binh tri dong,quan binh tan
12.5,"nha mat pho, mat tien",5.0,22.5,5,4,4,da co so,duong mieu binh dong,phuong binh hung hoa a,quan binh tan
3.1,"nha ngo, hem",4.0,8.0,2,2,2,da co so,duong tan hoa dong,phuong binh tri dong,quan binh tan
3.3,"nha ngo, hem",4.0,13.0,3,2,2,da co so,duong so 5,phuong binh hung hoa a,quan binh tan
5.6,"nha ngo, hem",4.3,12.0,4,5,4,da co so,duong binh tri dong,phuong binh tri dong,quan binh tan
3.1,"nha ngo, hem",4.0,9.0,1,2,2,da co so,duong lien khu 10-11,phuong binh tri dong,quan binh tan
15.2,"nha mat pho, mat tien",6.0,19.0,7,5,3,da co so,duong so 3,phuong binh hung hoa b,quan binh tan
4.05,"nha ngo, hem",4.0,17.5,2,2,2,da co so,duong binh thanh,phuong binh hung hoa b,quan binh tan
8.1,"nha mat pho, mat tien",4.0,16.0,5,4,5,da co so,duong chien luoc,phuong binh tri dong a,quan binh tan
6.8,"nha ngo, hem",4.0,17.0,5,6,4,da co so,duong go xoai,phuong binh hung hoa a,quan binh tan
3.7,"nha ngo, hem",4.0,8.0,2,2,2,da co so,duong tan ky tan quy,phuong binh hung hoa b,quan binh tan
15.0,"nha mat pho, mat tien",5.0,16.0,4,3,3,da co so,duong so 26,phuong binh tri dong b,quan binh tan
5.25,nha pho lien ke,5.0,15.0,2,2,2,da co so,duong so 12,phuong binh hung hoa,quan binh tan
5.0,"nha ngo, hem",4.0,20.0,2,2,1,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan
7.7,"nha mat pho, mat tien",4.0,20.0,4,5,3,da co so,duong so 8,phuong binh hung hoa,quan binh tan
5.5,"nha ngo, hem",5.6,13.0,2,2,1,da co so,duong so 7,phuong an lac a,quan binh tan
3.0,"nha ngo, hem",4.0,11.0,2,2,2,da co so,duong ma lo,phuong binh tri dong a,quan binh tan
2.3,"nha ngo, hem",4.0,16.5,2,2,2,da co so,duong le dinh can,phuong tan tao,quan binh tan
4.1,"nha ngo, hem",4.0,10.0,3,3,4,da co so,duong le dinh can,phuong tan tao,quan binh tan
2.9,"nha ngo, hem",3.5,8.0,2,2,2,da co so,duong binh long,phuong binh hung hoa a,quan binh tan
5.0,"nha ngo, hem",4.5,17.0,3,3,3,da co so,duong kinh duong vuong,phuong an lac,quan binh tan
4.6,"nha ngo, hem",5.0,12.0,2,3,2,da co so,duong le trong tan,phuong binh hung hoa,quan binh tan
5.4,"nha ngo, hem",4.0,16.0,4,3,3,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
5.2,"nha mat pho, mat tien",4.45,7.4,2,3,3,da co so,duong hoang van hop,phuong an lac,quan binh tan
6.5,"nha mat pho, mat tien",4.0,12.5,4,3,4,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan
6.4,"nha ngo, hem",4.0,14.0,6,7,5,da co so,duong go xoai,phuong binh hung hoa a,quan binh tan
3.52,"nha ngo, hem",5.0,9.0,3,2,2,da co so,duong lien khu 10-11,phuong binh tri dong,quan binh tan
3.65,"nha ngo, hem",4.0,9.0,4,4,3,da co so,duong ten lua,phuong binh tri dong,quan binh tan
4.65,"nha ngo, hem",4.0,15.0,2,2,2,da co so,duong so 16,phuong binh hung hoa a,quan binh tan
5.9,"nha ngo, hem",4.0,15.0,5,4,4,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan
4.5,"nha ngo, hem",4.0,15.0,4,4,2,da co so,duong tan ky tan quy,phuong binh hung hoa,quan binh tan
4.4,"nha ngo, hem",4.0,13.0,2,2,2,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
5.9,"nha mat pho, mat tien",4.0,14.0,3,4,3,da co so,duong so 8b,phuong binh hung hoa a,quan binh tan
7.5,"nha ngo, hem",4.0,17.5,5,5,3,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan
0.69,"nha mat pho, mat tien",4.3,20.0,3,2,2,da co so,duong le trong tan,phuong binh hung hoa,quan binh tan
5.79,"nha ngo, hem",4.0,20.0,3,4,3,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan
5.5,"nha ngo, hem",4.0,18.0,4,4,4,da co so,duong so 1,phuong binh hung hoa,quan binh tan
5.5,"nha ngo, hem",4.0,12.0,3,3,3,da co so,duong so 5,phuong binh hung hoa,quan binh tan
5.5,"nha ngo, hem",4.7,13.0,4,4,3,da co so,duong so 3,phuong binh hung hoa,quan binh tan
6.98,"nha mat pho, mat tien",4.0,25.0,4,3,4,da co so,duong tan ky tan quy,phuong binh hung hoa a,quan binh tan
4.6,"nha ngo, hem",4.0,18.0,2,3,2,da co so,duong pham dang giang,phuong binh hung hoa,quan binh tan
5.899,"nha mat pho, mat tien",4.0,19.0,4,3,3,da co so,duong lien khu 4-5,phuong binh hung hoa b,quan binh tan
3.85,"nha ngo, hem",4.0,9.0,3,2,2,da co so,duong ma lo,phuong binh hung hoa a,quan binh tan
2.52,"nha ngo, hem",4.0,4.0,2,2,2,da co so,duong 26 thang 3,phuong binh hung hoa,quan binh tan
4.2,"nha ngo, hem",4.0,10.0,2,2,2,da co so,duong binh long,phuong binh hung hoa a,quan binh tan
5.5,"nha mat pho, mat tien",4.0,14.0,4,3,4,da co so,duong lien khu 4-5,phuong binh hung hoa b,quan binh tan
